Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,2,ward,euclidean,3,0.52,9873.92,0.77,2.36
CC General,2,average,euclidean,1,,,,1.38
CC General,2,average,manhattan,1,,,,1.34
CC General,2,average,cosine,17,0.29,7101.3,1.7,1.98
CC General,2,average,chebyshev,1,,,,2.11
CC General,2,average,minkowski,1,,,,4.24
CC General,2,average,mahalanobis,1547,0.45,63602.32,0.43,7.63
CC General,2,complete,euclidean,1,,,,1.51
CC General,2,complete,manhattan,1,,,,1.38
CC General,2,complete,cosine,33,0.21,4351.21,3.26,2.17
CC General,2,complete,chebyshev,1,,,,2.24
CC General,2,complete,minkowski,1,,,,4.53
CC General,2,complete,mahalanobis,1980,0.44,107676.76,0.47,8.12
CC General,2,single,euclidean,1,,,,0.34
CC General,2,single,manhattan,1,,,,0.28
CC General,2,single,cosine,1,,,,0.77
CC General,2,single,chebyshev,1,,,,1.49
CC General,2,single,minkowski,1,,,,2.95
CC General,2,single,mahalanobis,707,-0.19,249.44,0.48,5.54
CC General,3,ward,euclidean,4,0.53,9187.47,0.72,2.37
CC General,3,average,euclidean,1,,,,1.44
CC General,3,average,manhattan,1,,,,1.38
CC General,3,average,cosine,85,0.34,3763.14,1.28,2.22
CC General,3,average,chebyshev,1,,,,2.33
CC General,3,average,minkowski,1,,,,4.61
CC General,3,average,mahalanobis,3603,0.39,43469.08,0.25,8.75
CC General,3,complete,euclidean,1,,,,1.57
CC General,3,complete,manhattan,1,,,,1.45
CC General,3,complete,cosine,197,0.27,3139.35,1.67,2.4
CC General,3,complete,chebyshev,1,,,,2.45
CC General,3,complete,minkowski,1,,,,4.71
CC General,3,complete,mahalanobis,3897,0.38,68193.37,0.27,8.99
CC General,3,single,euclidean,1,,,,0.34
CC General,3,single,manhattan,1,,,,0.28
CC General,3,single,cosine,2,-0.25,0.27,4.42,1.59
CC General,3,single,chebyshev,1,,,,1.59
CC General,3,single,minkowski,1,,,,3.03
CC General,3,single,mahalanobis,2900,0.05,618.31,0.28,6.25
CC General,4,ward,euclidean,5,0.47,5492.03,0.88,2.46
CC General,4,average,euclidean,1,,,,1.49
CC General,4,average,manhattan,1,,,,1.5
CC General,4,average,cosine,230,0.33,2077.62,0.88,2.37
CC General,4,average,chebyshev,1,,,,2.53
CC General,4,average,minkowski,1,,,,4.76
CC General,4,average,mahalanobis,4536,0.35,44647.21,0.17,9.4
CC General,4,complete,euclidean,1,,,,1.61
CC General,4,complete,manhattan,1,,,,1.55
CC General,4,complete,cosine,411,0.32,2950.95,0.98,2.53
CC General,4,complete,chebyshev,1,,,,2.56
CC General,4,complete,minkowski,1,,,,4.96
CC General,4,complete,mahalanobis,4794,0.34,75478.83,0.19,9.68
CC General,4,single,euclidean,1,,,,0.36
CC General,4,single,manhattan,1,,,,0.29
CC General,4,single,cosine,18,-0.45,0.3,2.7,1.59
CC General,4,single,chebyshev,1,,,,1.69
CC General,4,single,minkowski,1,,,,3.15
CC General,4,single,mahalanobis,4070,0.18,447.41,0.22,6.79
COVID-19,2,ward,euclidean,8,0.6,1244.86,0.53,0.0
COVID-19,2,average,euclidean,3,0.65,485.78,0.47,0.0
COVID-19,2,average,manhattan,3,0.65,485.78,0.47,0.0
COVID-19,2,average,cosine,14,0.51,790.21,0.65,0.0
COVID-19,2,average,chebyshev,2,0.44,128.2,0.68,0.0
COVID-19,2,average,minkowski,3,0.65,485.78,0.47,0.01
COVID-19,2,average,mahalanobis,139,0.33,21449.76,0.2,0.05
COVID-19,2,complete,euclidean,4,0.67,805.9,0.46,0.0
COVID-19,2,complete,manhattan,6,0.63,1021.96,0.46,0.0
COVID-19,2,complete,cosine,17,0.49,1248.91,0.71,0.01
COVID-19,2,complete,chebyshev,4,0.68,877.19,0.47,0.01
COVID-19,2,complete,minkowski,4,0.67,805.9,0.46,0.02
COVID-19,2,complete,mahalanobis,142,0.32,22576.45,0.2,0.06
COVID-19,2,single,euclidean,1,,,,0.0
COVID-19,2,single,manhattan,1,,,,0.0
COVID-19,2,single,cosine,2,0.55,196.7,0.69,0.0
COVID-19,2,single,chebyshev,1,,,,0.0
COVID-19,2,single,minkowski,1,,,,0.01
COVID-19,2,single,mahalanobis,119,0.33,1980.47,0.17,0.03
COVID-19,3,ward,euclidean,14,0.46,517.48,0.75,0.01
COVID-19,3,average,euclidean,4,0.54,265.7,0.62,0.0
COVID-19,3,average,manhattan,6,0.52,360.38,0.65,0.01
COVID-19,3,average,cosine,35,0.41,326.8,0.54,0.01
COVID-19,3,average,chebyshev,3,0.38,109.03,0.91,0.0
COVID-19,3,average,minkowski,4,0.54,265.7,0.62,0.02
COVID-19,3,average,mahalanobis,202,0.13,19554.71,0.06,0.06
COVID-19,3,complete,euclidean,7,0.53,388.05,0.72,0.0
COVID-19,3,complete,manhattan,11,0.44,374.48,0.85,0.0
COVID-19,3,complete,cosine,53,0.43,400.06,0.59,0.01
COVID-19,3,complete,chebyshev,7,0.54,424.12,0.67,0.0
COVID-19,3,complete,minkowski,7,0.53,388.05,0.72,0.02
COVID-19,3,complete,mahalanobis,203,0.12,20843.94,0.06,0.06
COVID-19,3,single,euclidean,1,,,,0.0
COVID-19,3,single,manhattan,1,,,,0.0
COVID-19,3,single,cosine,14,-0.03,25.74,0.96,0.0
COVID-19,3,single,chebyshev,1,,,,0.0
COVID-19,3,single,minkowski,1,,,,0.01
COVID-19,3,single,mahalanobis,199,0.13,10824.31,0.06,0.04
COVID-19,4,ward,euclidean,21,0.46,302.3,0.74,0.01
COVID-19,4,average,euclidean,6,0.51,205.36,0.75,0.0
COVID-19,4,average,manhattan,11,0.43,203.79,0.78,0.0
COVID-19,4,average,cosine,52,0.43,238.01,0.46,0.01
COVID-19,4,average,chebyshev,4,0.4,104.18,1.02,0.0
COVID-19,4,average,minkowski,6,0.51,205.36,0.75,0.02
COVID-19,4,average,mahalanobis,212,0.08,25757.13,0.04,0.06
COVID-19,4,complete,euclidean,12,0.44,218.73,0.79,0.0
COVID-19,4,complete,manhattan,21,0.47,279.45,0.73,0.0
COVID-19,4,complete,cosine,64,0.4,328.7,0.54,0.01
COVID-19,4,complete,chebyshev,10,0.47,251.26,0.77,0.01
COVID-19,4,complete,minkowski,12,0.44,218.73,0.79,0.02
COVID-19,4,complete,mahalanobis,212,0.08,25757.13,0.04,0.06
COVID-19,4,single,euclidean,1,,,,0.0
COVID-19,4,single,manhattan,1,,,,0.0
COVID-19,4,single,cosine,22,0.12,49.37,0.61,0.01
COVID-19,4,single,chebyshev,1,,,,0.0
COVID-19,4,single,minkowski,1,,,,0.01
COVID-19,4,single,mahalanobis,209,0.09,15620.29,0.04,0.04
Credit Card,2,ward,euclidean,4,0.8,5436.48,0.3,0.02
Credit Card,2,average,euclidean,1,,,,0.01
Credit Card,2,average,manhattan,1,,,,0.01
Credit Card,2,average,cosine,9,0.61,2017.29,0.64,0.01
Credit Card,2,average,chebyshev,1,,,,0.01
Credit Card,2,average,minkowski,1,,,,0.03
Credit Card,2,average,mahalanobis,145,0.49,60468.94,0.34,0.07
Credit Card,2,complete,euclidean,1,,,,0.01
Credit Card,2,complete,manhattan,1,,,,0.01
Credit Card,2,complete,cosine,15,0.61,2714.12,0.72,0.02
Credit Card,2,complete,chebyshev,1,,,,0.01
Credit Card,2,complete,minkowski,1,,,,0.03
Credit Card,2,complete,mahalanobis,177,0.44,86397.29,0.4,0.08
Credit Card,2,single,euclidean,1,,,,0.0
Credit Card,2,single,manhattan,1,,,,0.0
Credit Card,2,single,cosine,3,0.68,1019.88,0.56,0.01
Credit Card,2,single,chebyshev,1,,,,0.01
Credit Card,2,single,minkowski,1,,,,0.02
Credit Card,2,single,mahalanobis,90,0.35,2792.4,0.29,0.05
Credit Card,3,ward,euclidean,7,0.78,5218.83,0.37,0.02
Credit Card,3,average,euclidean,1,,,,0.01
Credit Card,3,average,manhattan,1,,,,0.01
Credit Card,3,average,cosine,17,0.66,5572.33,0.45,0.02
Credit Card,3,average,chebyshev,1,,,,0.01
Credit Card,3,average,minkowski,1,,,,0.02
Credit Card,3,average,mahalanobis,281,0.37,40102.59,0.29,0.09
Credit Card,3,complete,euclidean,1,,,,0.01
Credit Card,3,complete,manhattan,2,0.58,336.75,0.39,0.01
Credit Card,3,complete,cosine,28,0.55,6750.1,0.62,0.02
Credit Card,3,complete,chebyshev,1,,,,0.01
Credit Card,3,complete,minkowski,1,,,,0.03
Credit Card,3,complete,mahalanobis,306,0.37,56811.36,0.31,0.09
Credit Card,3,single,euclidean,1,,,,0.0
Credit Card,3,single,manhattan,1,,,,0.0
Credit Card,3,single,cosine,4,0.79,2977.55,0.32,0.01
Credit Card,3,single,chebyshev,1,,,,0.01
Credit Card,3,single,minkowski,1,,,,0.02
Credit Card,3,single,mahalanobis,214,0.26,1967.16,0.29,0.07
Credit Card,4,ward,euclidean,10,0.68,3093.45,0.49,0.02
Credit Card,4,average,euclidean,1,,,,0.01
Credit Card,4,average,manhattan,2,0.49,224.48,0.47,0.01
Credit Card,4,average,cosine,23,0.55,2076.58,0.55,0.02
Credit Card,4,average,chebyshev,1,,,,0.01
Credit Card,4,average,minkowski,1,,,,0.03
Credit Card,4,average,mahalanobis,409,0.32,34378.61,0.2,0.11
Credit Card,4,complete,euclidean,1,,,,0.01
Credit Card,4,complete,manhattan,5,0.71,1461.56,0.41,0.01
Credit Card,4,complete,cosine,41,0.5,3255.99,0.71,0.02
Credit Card,4,complete,chebyshev,1,,,,0.01
Credit Card,4,complete,minkowski,1,,,,0.03
Credit Card,4,complete,mahalanobis,430,0.32,45764.93,0.21,0.12
Credit Card,4,single,euclidean,1,,,,0.0
Credit Card,4,single,manhattan,1,,,,0.0
Credit Card,4,single,cosine,6,0.57,1210.29,0.46,0.01
Credit Card,4,single,chebyshev,1,,,,0.01
Credit Card,4,single,minkowski,1,,,,0.02
Credit Card,4,single,mahalanobis,375,0.33,11148.98,0.2,0.09
Mall Customer,2,ward,euclidean,5,0.85,5787.84,0.3,0.0
Mall Customer,2,average,euclidean,2,0.68,210.4,0.35,0.0
Mall Customer,2,average,manhattan,3,0.84,1079.17,0.25,0.0
Mall Customer,2,average,cosine,8,0.72,306.31,0.4,0.0
Mall Customer,2,average,chebyshev,2,0.68,210.4,0.35,0.0
Mall Customer,2,average,minkowski,2,0.68,210.4,0.35,0.01
Mall Customer,2,average,mahalanobis,41,0.76,135015.53,0.29,0.03
Mall Customer,2,complete,euclidean,3,0.62,344.32,0.45,0.0
Mall Customer,2,complete,manhattan,4,0.86,3691.75,0.29,0.0
Mall Customer,2,complete,cosine,11,0.74,346.12,0.37,0.0
Mall Customer,2,complete,chebyshev,3,0.62,344.32,0.45,0.0
Mall Customer,2,complete,minkowski,3,0.62,344.32,0.45,0.01
Mall Customer,2,complete,mahalanobis,43,0.76,153219.92,0.29,0.03
Mall Customer,2,single,euclidean,1,,,,0.0
Mall Customer,2,single,manhattan,1,,,,0.0
Mall Customer,2,single,cosine,5,0.57,253.2,0.6,0.0
Mall Customer,2,single,chebyshev,1,,,,0.0
Mall Customer,2,single,minkowski,1,,,,0.01
Mall Customer,2,single,mahalanobis,25,0.73,3311.94,0.25,0.02
Mall Customer,3,ward,euclidean,9,0.68,1931.6,0.44,0.0
Mall Customer,3,average,euclidean,3,0.61,243.91,0.45,0.0
Mall Customer,3,average,manhattan,4,0.69,536.19,0.44,0.0
Mall Customer,3,average,cosine,10,0.69,1018.32,0.29,0.0
Mall Customer,3,average,chebyshev,3,0.61,243.91,0.45,0.0
Mall Customer,3,average,minkowski,3,0.61,243.91,0.45,0.01
Mall Customer,3,average,mahalanobis,80,0.58,41437.75,0.24,0.04
Mall Customer,3,complete,euclidean,5,0.74,1265.19,0.38,0.0
Mall Customer,3,complete,manhattan,5,0.71,899.35,0.37,0.0
Mall Customer,3,complete,cosine,14,0.64,1279.0,0.35,0.01
Mall Customer,3,complete,chebyshev,5,0.74,1319.82,0.38,0.0
Mall Customer,3,complete,minkowski,5,0.74,1265.19,0.38,0.01
Mall Customer,3,complete,mahalanobis,83,0.57,45265.22,0.24,0.04
Mall Customer,3,single,euclidean,1,,,,0.0
Mall Customer,3,single,manhattan,1,,,,0.0
Mall Customer,3,single,cosine,5,0.56,435.97,0.44,0.0
Mall Customer,3,single,chebyshev,1,,,,0.0
Mall Customer,3,single,minkowski,1,,,,0.0
Mall Customer,3,single,mahalanobis,59,0.54,1376.21,0.23,0.02
Mall Customer,4,ward,euclidean,13,0.63,1520.17,0.53,0.01
Mall Customer,4,average,euclidean,5,0.78,652.91,0.33,0.0
Mall Customer,4,average,manhattan,6,0.72,577.96,0.55,0.0
Mall Customer,4,average,cosine,14,0.64,990.73,0.34,0.0
Mall Customer,4,average,chebyshev,5,0.78,689.31,0.32,0.0
Mall Customer,4,average,minkowski,5,0.78,652.91,0.33,0.02
Mall Customer,4,average,mahalanobis,124,0.42,49371.27,0.12,0.04
Mall Customer,4,complete,euclidean,6,0.75,851.59,0.34,0.0
Mall Customer,4,complete,manhattan,8,0.72,805.26,0.53,0.0
Mall Customer,4,complete,cosine,21,0.59,1549.46,0.41,0.01
Mall Customer,4,complete,chebyshev,6,0.75,851.59,0.34,0.0
Mall Customer,4,complete,minkowski,6,0.75,851.59,0.34,0.02
Mall Customer,4,complete,mahalanobis,127,0.4,55173.49,0.12,0.05
Mall Customer,4,single,euclidean,3,0.47,90.59,1.09,0.0
Mall Customer,4,single,manhattan,3,0.47,90.59,1.09,0.0
Mall Customer,4,single,cosine,9,0.55,409.97,0.32,0.0
Mall Customer,4,single,chebyshev,2,0.34,58.93,1.69,0.0
Mall Customer,4,single,minkowski,3,0.47,90.59,1.09,0.01
Mall Customer,4,single,mahalanobis,118,0.41,22092.45,0.13,0.04
Sales Transactions,2,ward,euclidean,6,0.56,2747.87,0.51,0.02
Sales Transactions,2,average,euclidean,1,,,,0.01
Sales Transactions,2,average,manhattan,1,,,,0.01
Sales Transactions,2,average,cosine,16,0.48,3307.16,0.67,0.02
Sales Transactions,2,average,chebyshev,1,,,,0.02
Sales Transactions,2,average,minkowski,1,,,,0.04
Sales Transactions,2,average,mahalanobis,353,0.39,24165.76,0.31,0.12
Sales Transactions,2,complete,euclidean,1,,,,0.01
Sales Transactions,2,complete,manhattan,1,,,,0.01
Sales Transactions,2,complete,cosine,25,0.39,3464.94,0.82,0.02
Sales Transactions,2,complete,chebyshev,1,,,,0.02
Sales Transactions,2,complete,minkowski,1,,,,0.04
Sales Transactions,2,complete,mahalanobis,398,0.36,33746.39,0.33,0.14
Sales Transactions,2,single,euclidean,1,,,,0.0
Sales Transactions,2,single,manhattan,1,,,,0.0
Sales Transactions,2,single,cosine,1,,,,0.0
Sales Transactions,2,single,chebyshev,1,,,,0.01
Sales Transactions,2,single,minkowski,1,,,,0.03
Sales Transactions,2,single,mahalanobis,232,0.11,538.97,0.36,0.08
Sales Transactions,3,ward,euclidean,9,0.47,1277.02,0.7,0.02
Sales Transactions,3,average,euclidean,1,,,,0.01
Sales Transactions,3,average,manhattan,1,,,,0.01
Sales Transactions,3,average,cosine,40,0.36,779.19,0.73,0.02
Sales Transactions,3,average,chebyshev,1,,,,0.02
Sales Transactions,3,average,minkowski,1,,,,0.03
Sales Transactions,3,average,mahalanobis,665,0.16,16282.74,0.12,0.17
Sales Transactions,3,complete,euclidean,1,,,,0.01
Sales Transactions,3,complete,manhattan,2,0.26,235.58,1.82,0.02
Sales Transactions,3,complete,cosine,71,0.33,961.25,0.88,0.03
Sales Transactions,3,complete,chebyshev,1,,,,0.02
Sales Transactions,3,complete,minkowski,1,,,,0.04
Sales Transactions,3,complete,mahalanobis,678,0.15,20245.66,0.13,0.17
Sales Transactions,3,single,euclidean,1,,,,0.0
Sales Transactions,3,single,manhattan,1,,,,0.0
Sales Transactions,3,single,cosine,2,-0.22,0.2,2.14,0.02
Sales Transactions,3,single,chebyshev,1,,,,0.01
Sales Transactions,3,single,minkowski,1,,,,0.03
Sales Transactions,3,single,mahalanobis,645,0.15,5071.02,0.12,0.15
Sales Transactions,4,ward,euclidean,13,0.37,532.35,0.94,0.02
Sales Transactions,4,average,euclidean,1,,,,0.01
Sales Transactions,4,average,manhattan,1,,,,0.01
Sales Transactions,4,average,cosine,94,0.29,302.85,0.82,0.03
Sales Transactions,4,average,chebyshev,1,,,,0.02
Sales Transactions,4,average,minkowski,1,,,,0.04
Sales Transactions,4,average,mahalanobis,774,0.04,17838.9,0.04,0.19
Sales Transactions,4,complete,euclidean,1,,,,0.01
Sales Transactions,4,complete,manhattan,5,0.3,297.25,1.12,0.02
Sales Transactions,4,complete,cosine,146,0.26,370.46,0.94,0.04
Sales Transactions,4,complete,chebyshev,1,,,,0.02
Sales Transactions,4,complete,minkowski,1,,,,0.04
Sales Transactions,4,complete,mahalanobis,775,0.04,18386.78,0.04,0.19
Sales Transactions,4,single,euclidean,1,,,,0.0
Sales Transactions,4,single,manhattan,1,,,,0.0
Sales Transactions,4,single,cosine,5,-0.42,0.41,1.58,0.02
Sales Transactions,4,single,chebyshev,1,,,,0.02
Sales Transactions,4,single,minkowski,1,,,,0.03
Sales Transactions,4,single,mahalanobis,763,0.03,5565.04,0.04,0.21
Wholesale,2,ward,euclidean,9,0.48,1266.0,0.65,0.01
Wholesale,2,average,euclidean,1,,,,0.0
Wholesale,2,average,manhattan,1,,,,0.0
Wholesale,2,average,cosine,19,0.34,526.94,1.09,0.01
Wholesale,2,average,chebyshev,1,,,,0.01
Wholesale,2,average,minkowski,1,,,,0.01
Wholesale,2,average,mahalanobis,310,0.24,14412.09,0.18,0.07
Wholesale,2,complete,euclidean,1,,,,0.01
Wholesale,2,complete,manhattan,2,0.26,121.98,1.78,0.01
Wholesale,2,complete,cosine,29,0.27,470.08,1.32,0.01
Wholesale,2,complete,chebyshev,1,,,,0.01
Wholesale,2,complete,minkowski,1,,,,0.02
Wholesale,2,complete,mahalanobis,321,0.24,17804.45,0.18,0.08
Wholesale,2,single,euclidean,1,,,,0.0
Wholesale,2,single,manhattan,1,,,,0.0
Wholesale,2,single,cosine,1,,,,0.0
Wholesale,2,single,chebyshev,1,,,,0.0
Wholesale,2,single,minkowski,1,,,,0.01
Wholesale,2,single,mahalanobis,282,0.22,3868.23,0.18,0.07
Wholesale,3,ward,euclidean,12,0.45,620.58,0.78,0.01
Wholesale,3,average,euclidean,1,,,,0.0
Wholesale,3,average,manhattan,2,0.34,167.3,1.46,0.01
Wholesale,3,average,cosine,50,0.36,419.78,0.65,0.02
Wholesale,3,average,chebyshev,1,,,,0.01
Wholesale,3,average,minkowski,1,,,,0.02
Wholesale,3,average,mahalanobis,401,0.1,17421.99,0.07,0.1
Wholesale,3,complete,euclidean,2,0.25,129.8,1.75,0.01
Wholesale,3,complete,manhattan,6,0.46,460.19,0.7,0.01
Wholesale,3,complete,cosine,75,0.33,484.43,0.81,0.03
Wholesale,3,complete,chebyshev,1,,,,0.01
Wholesale,3,complete,minkowski,2,0.25,129.8,1.75,0.02
Wholesale,3,complete,mahalanobis,402,0.1,17842.41,0.07,0.11
Wholesale,3,single,euclidean,1,,,,0.0
Wholesale,3,single,manhattan,1,,,,0.0
Wholesale,3,single,cosine,9,-0.44,0.38,2.0,0.01
Wholesale,3,single,chebyshev,1,,,,0.0
Wholesale,3,single,minkowski,1,,,,0.01
Wholesale,3,single,mahalanobis,395,0.1,10861.36,0.07,0.08
Wholesale,4,ward,euclidean,17,0.43,509.74,0.75,0.01
Wholesale,4,average,euclidean,1,,,,0.0
Wholesale,4,average,manhattan,5,0.47,333.62,0.74,0.01
Wholesale,4,average,cosine,68,0.38,337.06,0.64,0.02
Wholesale,4,average,chebyshev,1,,,,0.01
Wholesale,4,average,minkowski,1,,,,0.01
Wholesale,4,average,mahalanobis,417,0.06,28914.52,0.04,0.08
Wholesale,4,complete,euclidean,4,0.41,208.65,1.11,0.01
Wholesale,4,complete,manhattan,9,0.43,428.08,0.71,0.01
Wholesale,4,complete,cosine,91,0.38,428.95,0.66,0.02
Wholesale,4,complete,chebyshev,1,,,,0.0
Wholesale,4,complete,minkowski,4,0.41,208.65,1.11,0.02
Wholesale,4,complete,mahalanobis,417,0.06,28914.52,0.04,0.11
Wholesale,4,single,euclidean,1,,,,0.0
Wholesale,4,single,manhattan,1,,,,0.0
Wholesale,4,single,cosine,12,-0.46,0.75,1.8,0.01
Wholesale,4,single,chebyshev,1,,,,0.0
Wholesale,4,single,minkowski,1,,,,0.01
Wholesale,4,single,mahalanobis,415,0.06,18886.32,0.04,0.08
